document_number,title,publication_date,effective_on,abstract,html_url
2026-04783,Citric Acid and Certain Citrate Salts From Canada and India; Determinations,2026-03-12,,,https://www.federalregister.gov/documents/2026/03/12/2026-04783/citric-acid-and-certain-citrate-salts-from-canada-and-india-determinations
2026-04765,Unwrought Palladium From the Russian Federation: Preliminary Affirmative Countervailing Duty Determination,2026-03-11,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of unwrought palladium (palladium) from the Russian Federation (Russia). The period of investigation is January 1, 2024, through December 31, 2024. Interes",https://www.federalregister.gov/documents/2026/03/11/2026-04765/unwrought-palladium-from-the-russian-federation-preliminary-affirmative-countervailing-duty
2026-04707,Certain Opaque Polymers; Notice of Institution of Rescission Proceeding; Rescission of Remedial Orders; Termination of Rescission Proceeding,2026-03-11,,"Notice is hereby given that the U.S. International Trade Commission (""Commission"") has determined to institute a rescission proceeding and rescind a limited exclusion order (""LEO"") directed to Organik Kimya San. ve Tic. A.[Scedil] of Istanbul, Turkey; Organik Kimya Netherlands B.V. of Rotterdam-Botl",https://www.federalregister.gov/documents/2026/03/11/2026-04707/certain-opaque-polymers-notice-of-institution-of-rescission-proceeding-rescission-of-remedial-orders
2026-04762,Polypropylene Corrugated Boxes From China; Determinations,2026-03-11,,,https://www.federalregister.gov/documents/2026/03/11/2026-04762/polypropylene-corrugated-boxes-from-china-determinations
2026-04769,Certain Nasal Devices and Components Thereof; Notice of a Commission Determination To Reconsider an Earlier Decision; Issue a Limited Exclusion Order and Cease and Desist Orders; Termination of Investigation,2026-03-11,,"Notice is hereby given that the U.S. International Trade Commission (""Commission"") has determined to reconsider in part its prior affirmance of an initial determination (""ID"") (Order No. 27) of the presiding administrative law judge (""ALJ""). The Commission has also determined to issue: (1) a limited",https://www.federalregister.gov/documents/2026/03/11/2026-04769/certain-nasal-devices-and-components-thereof-notice-of-a-commission-determination-to-reconsider-an
2026-04766,Certain Monomers and Oligomers From Taiwan: Antidumping Duty Order and Countervailing Duty Order,2026-03-11,,"Based on affirmative final determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC), Commerce is issuing antidumping duty (AD) and countervailing duty (CVD) orders on certain monomers and oligomers (monomers and oligomers) from Taiwan.",https://www.federalregister.gov/documents/2026/03/11/2026-04766/certain-monomers-and-oligomers-from-taiwan-antidumping-duty-order-and-countervailing-duty-order
2026-04786,Extension of Import Restrictions Imposed on Certain Archaeological and Ecclesiastical Ethnological Material of Colombia,2026-03-11,2026-03-10,"This document amends U.S. Customs and Border Protection (CBP) regulations to reflect an extension of import restrictions on certain categories of archaeological and ecclesiastical ethnological material of the Republic of Colombia, which were originally imposed in CBP Decision 06-09 and last extended",https://www.federalregister.gov/documents/2026/03/11/2026-04786/extension-of-import-restrictions-imposed-on-certain-archaeological-and-ecclesiastical-ethnological
2026-04767,Chlorinated Isocyanurates From the People's Republic of China: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-11,,"The U.S. Department of Commerce (Commerce) determines that chlorinated isocyanurates from the People's Republic of China (China) was sold in the United States at less than normal value during the period of review (POR) June 1, 2023, through May 3, 2024.",https://www.federalregister.gov/documents/2026/03/11/2026-04767/chlorinated-isocyanurates-from-the-peoples-republic-of-china-final-results-of-antidumping-duty
2026-04697,Fresh Garlic From the People's Republic of China: Notice of Court Decision Not in Harmony With Final Scope Ruling and Notice of Amended Final Scope Ruling Pursuant to Court Decision,2026-03-10,,"On February 23, 2026, the U.S. Court of International Trade (the Court) issued its final judgment in Export Packers Company Limited v. United States, Court No. 24-00061, sustaining the U.S. Department of Commerce (Commerce)'s remand redetermination pertaining to the final scope ruling of the antidum",https://www.federalregister.gov/documents/2026/03/10/2026-04697/fresh-garlic-from-the-peoples-republic-of-china-notice-of-court-decision-not-in-harmony-with-final
2026-04696,"Heavy Walled Rectangular Pipes and Tubes From Mexico: Preliminary Results and Rescission, in Part, of the Antidumping Duty Administrative Review; 2023-2024",2026-03-10,,"The U.S. Department of Commerce (Commerce) preliminarily finds that heavy walled rectangular pipes and tubes (HWR) from Mexico was sold in the United States at below normal value (NV) during the period of review (POR), September 1, 2023, through August 31, 2024. Additionally, we are rescinding this ",https://www.federalregister.gov/documents/2026/03/10/2026-04696/heavy-walled-rectangular-pipes-and-tubes-from-mexico-preliminary-results-and-rescission-in-part-of
